layers,perceptrons,accuracy,learn_time[s],cross_entropy_error,mean_squared_error
1,10,0.9565217391304348,0.42224907875061035,0.18700151549989694,0.043478260869565216
2,10,0.9565217391304348,0.43132734298706055,0.14795503138807675,0.043478260869565216
3,10,0.9130434782608695,0.6328268051147461,0.2020862569004367,0.08695652173913043
4,10,0.9130434782608695,0.4897644519805908,0.14984056165751924,0.08695652173913043
5,10,0.9565217391304348,0.7290425300598145,0.13951316194314828,0.043478260869565216
6,10,0.34782608695652173,0.0689997673034668,1.1060714609176059,1.6956521739130435
7,10,1.0,0.7340235710144043,0.08427001058192103,0.0
8,10,0.4782608695652174,0.2087721824645996,1.0927266190236264,0.782608695652174
9,10,1.0,0.6099996566772461,0.07961542737101895,0.0
10,10,0.34782608695652173,0.04900026321411133,1.097858047260725,1.6956521739130435
1,15,0.9565217391304348,0.28949928283691406,0.15869597229346177,0.043478260869565216
2,15,0.9130434782608695,0.5292685031890869,0.17029606040955167,0.08695652173913043
3,15,0.9565217391304348,0.4239990711212158,0.13994486053251629,0.043478260869565216
4,15,0.9565217391304348,0.8129026889801025,0.10558759933184897,0.043478260869565216
5,15,0.9565217391304348,0.4519991874694824,0.10803789293927189,0.043478260869565216
6,15,0.9130434782608695,0.9785223007202148,0.16431840659742553,0.08695652173913043
7,15,1.0,0.6484997272491455,0.07424568735879745,0.0
8,15,0.9565217391304348,0.888498067855835,0.1398721156423233,0.043478260869565216
9,15,0.9565217391304348,1.1974983215332031,0.15309919519038234,0.043478260869565216
10,15,0.9565217391304348,1.2389988899230957,0.12638865711879815,0.043478260869565216
1,50,0.9130434782608695,0.40149927139282227,0.21185203680312203,0.08695652173913043
2,50,0.9130434782608695,1.0084993839263916,0.17281550712491556,0.08695652173913043
3,50,0.9130434782608695,1.1164979934692383,0.13571961082606265,0.08695652173913043
4,50,0.9565217391304348,1.6414976119995117,0.09977361526031965,0.043478260869565216
5,50,0.9130434782608695,1.5759973526000977,0.10186941387832507,0.08695652173913043
6,50,0.9565217391304348,2.3809969425201416,0.13481247850808012,0.043478260869565216
7,50,0.9565217391304348,2.7064969539642334,0.06724764744803138,0.043478260869565216
8,50,1.0,4.0219950675964355,0.06676975900281519,0.0
9,50,0.9565217391304348,3.8974950313568115,0.07127845917373295,0.043478260869565216
10,50,0.9565217391304348,4.054494142532349,0.1279227117751686,0.043478260869565216
1,100,0.9565217391304348,0.45599913597106934,0.19909965740450283,0.043478260869565216
2,100,0.9565217391304348,1.1869990825653076,0.15387946349268822,0.043478260869565216
3,100,0.9565217391304348,1.3854975700378418,0.11938986541214958,0.043478260869565216
4,100,0.9565217391304348,1.679497480392456,0.09265916995253705,0.043478260869565216
5,100,0.9565217391304348,2.006542205810547,0.1007091127107254,0.043478260869565216
6,100,0.9565217391304348,2.830995798110962,0.0945031706831454,0.043478260869565216
7,100,0.9565217391304348,2.7499959468841553,0.09167920901116655,0.043478260869565216
8,100,0.9565217391304348,3.693495273590088,0.0824279715956279,0.043478260869565216
9,100,1.0,4.118994951248169,0.07053450311416455,0.0
10,100,0.9565217391304348,4.4719932079315186,0.06396841171739766,0.043478260869565216
1,150,0.9565217391304348,0.5435009002685547,0.20030628523854438,0.043478260869565216
2,150,0.9565217391304348,1.4159977436065674,0.13662179221562284,0.043478260869565216
3,150,0.9565217391304348,1.9484965801239014,0.11826202688206426,0.043478260869565216
4,150,0.9565217391304348,2.4269964694976807,0.09434292009830339,0.043478260869565216
5,150,0.9565217391304348,2.839996576309204,0.08358936830097242,0.043478260869565216
6,150,0.9565217391304348,3.3429954051971436,0.08785290932077691,0.043478260869565216
7,150,0.9565217391304348,4.411494255065918,0.07658782213754332,0.043478260869565216
8,150,0.9565217391304348,5.362994194030762,0.08662903870308479,0.043478260869565216
9,150,0.9565217391304348,4.708494663238525,0.09012947619243528,0.043478260869565216
10,150,0.9565217391304348,6.440993070602417,0.08598937619385214,0.043478260869565216
